year,sex,hindfoot_length,weight,genus,species,taxa,plot_type
1983,F,19.0,28.0,Onychomys,torridus,Rodent,Long-term Krat Exclosure
1991,not reported,,,Amphispiza,bilineata,Bird,Control
1987,F,32.0,162.0,Neotoma,albigula,Rodent,Control
1995,M,36.0,44.0,Dipodomys,merriami,Rodent,Control
2002,F,23.0,15.0,Chaetodipus,penicillatus,Rodent,Spectab exclosure
2002,F,22.0,18.0,Chaetodipus,penicillatus,Rodent,Spectab exclosure
1996,F,23.0,20.0,Chaetodipus,penicillatus,Rodent,Long-term Krat Exclosure
1985,M,35.0,42.0,Dipodomys,merriami,Rodent,Control
1988,F,17.0,10.0,Reithrodontomys,megalotis,Rodent,Control
1995,F,17.0,7.0,Perognathus,flavus,Rodent,Rodent Exclosure
1982,F,33.0,120.0,Neotoma,albigula,Rodent,Control
2000,M,36.0,46.0,Dipodomys,merriami,Rodent,Control
1984,M,32.0,152.0,Neotoma,albigula,Rodent,Control
2002,F,36.0,47.0,Dipodomys,merriami,Rodent,Control
1982,M,16.0,6.0,Perognathus,flavus,Rodent,Short-term Krat Exclosure
1988,F,17.0,11.0,Reithrodontomys,megalotis,Rodent,Short-term Krat Exclosure
2001,F,22.0,27.0,Onychomys,torridus,Rodent,Control
1998,M,36.0,49.0,Dipodomys,merriami,Rodent,Control
1990,F,24.0,27.0,Onychomys,leucogaster,Rodent,Control
2002,F,26.0,32.0,Chaetodipus,baileyi,Rodent,Long-term Krat Exclosure
1989,M,36.0,51.0,Dipodomys,ordii,Rodent,Control
1987,M,21.0,28.0,Peromyscus,maniculatus,Rodent,Rodent Exclosure
1994,M,36.0,43.0,Dipodomys,merriami,Rodent,Control
1991,not reported,,,Ammospermophilus,harrisi,Rodent,Control
1983,F,35.0,46.0,Dipodomys,merriami,Rodent,Short-term Krat Exclosure
1977,F,36.0,38.0,Dipodomys,merriami,Rodent,Control
1980,M,,39.0,Onychomys,leucogaster,Rodent,Control
1992,F,13.0,9.0,Baiomys,taylori,Rodent,Long-term Krat Exclosure
1983,M,34.0,36.0,Dipodomys,merriami,Rodent,Spectab exclosure
2000,F,35.0,37.0,Dipodomys,merriami,Rodent,Control
1986,F,37.0,44.0,Dipodomys,merriami,Rodent,Control
1991,not reported,,,Dipodomys,sp.,Rodent,Control
1993,F,47.0,44.0,Dipodomys,merriami,Rodent,Control
1996,M,15.0,9.0,Perognathus,flavus,Rodent,Rodent Exclosure
1983,F,36.0,40.0,Dipodomys,merriami,Rodent,Short-term Krat Exclosure
1991,M,16.0,9.0,Reithrodontomys,megalotis,Rodent,Rodent Exclosure
2001,F,26.0,33.0,Chaetodipus,baileyi,Rodent,Short-term Krat Exclosure
1992,M,17.0,11.0,Reithrodontomys,megalotis,Rodent,Short-term Krat Exclosure
1986,F,36.0,48.0,Dipodomys,merriami,Rodent,Control
2000,M,22.0,16.0,Chaetodipus,penicillatus,Rodent,Control
1997,F,17.0,12.0,Reithrodontomys,megalotis,Rodent,Short-term Krat Exclosure
1989,M,36.0,47.0,Dipodomys,merriami,Rodent,Spectab exclosure
1995,F,17.0,9.0,Perognathus,flavus,Rodent,Short-term Krat Exclosure
2001,M,20.0,24.0,Onychomys,torridus,Rodent,Control
1990,M,17.0,7.0,Perognathus,flavus,Rodent,Short-term Krat Exclosure
1981,M,,129.0,Dipodomys,spectabilis,Rodent,Control
1998,M,34.0,39.0,Dipodomys,merriami,Rodent,Control
2000,F,35.0,32.0,Dipodomys,merriami,Rodent,Control
2001,M,28.0,38.0,Chaetodipus,baileyi,Rodent,Short-term Krat Exclosure
1982,M,51.0,158.0,Dipodomys,spectabilis,Rodent,Control
1985,F,54.0,129.0,Dipodomys,spectabilis,Rodent,Spectab exclosure
1992,M,21.0,31.0,Onychomys,leucogaster,Rodent,Control
1980,F,35.0,47.0,Dipodomys,merriami,Rodent,Control
1993,F,20.0,17.0,Chaetodipus,penicillatus,Rodent,Short-term Krat Exclosure
2001,M,36.0,40.0,Dipodomys,merriami,Rodent,Control
1981,M,52.0,135.0,Dipodomys,spectabilis,Rodent,Control
2002,F,34.0,52.0,Dipodomys,merriami,Rodent,Control
1997,M,21.0,26.0,Onychomys,torridus,Rodent,Control
1991,M,16.0,10.0,Reithrodontomys,megalotis,Rodent,Short-term Krat Exclosure
1984,F,36.0,59.0,Dipodomys,ordii,Rodent,Short-term Krat Exclosure
1992,F,20.0,22.0,Onychomys,torridus,Rodent,Control
1999,not reported,,,Ammospermophilus,harrisi,Rodent,Control
1989,M,17.0,10.0,Reithrodontomys,megalotis,Rodent,Control
1984,M,35.0,41.0,Dipodomys,merriami,Rodent,Control
1996,F,26.0,32.0,Chaetodipus,baileyi,Rodent,Spectab exclosure
1989,M,21.0,22.0,Peromyscus,eremicus,Rodent,Short-term Krat Exclosure
1991,F,22.0,24.0,Onychomys,torridus,Rodent,Control
1997,F,33.0,33.0,Dipodomys,merriami,Rodent,Control
1992,M,36.0,45.0,Dipodomys,merriami,Rodent,Control
1999,F,22.0,12.0,Chaetodipus,penicillatus,Rodent,Control
2000,F,25.0,22.0,Chaetodipus,baileyi,Rodent,Short-term Krat Exclosure
1991,F,20.0,24.0,Peromyscus,eremicus,Rodent,Rodent Exclosure
2002,F,25.0,26.0,Chaetodipus,baileyi,Rodent,Control
1999,M,36.0,50.0,Dipodomys,merriami,Rodent,Spectab exclosure
1984,F,22.0,15.0,Chaetodipus,penicillatus,Rodent,Short-term Krat Exclosure
1993,F,37.0,46.0,Dipodomys,merriami,Rodent,Control
2002,F,23.0,23.0,Chaetodipus,penicillatus,Rodent,Rodent Exclosure
1981,F,,122.0,Dipodomys,spectabilis,Rodent,Short-term Krat Exclosure
1988,F,20.0,22.0,Peromyscus,eremicus,Rodent,Control
1986,M,49.0,125.0,Dipodomys,spectabilis,Rodent,Control
2002,M,25.0,50.0,Sigmodon,fulviventer,Rodent,Control
1989,M,20.0,27.0,Peromyscus,eremicus,Rodent,Long-term Krat Exclosure
1986,M,32.0,50.0,Dipodomys,ordii,Rodent,Control
1987,M,21.0,26.0,Peromyscus,maniculatus,Rodent,Long-term Krat Exclosure
1987,M,17.0,13.0,Reithrodontomys,megalotis,Rodent,Long-term Krat Exclosure
2002,not reported,,,Ammospermophilus,harrisi,Rodent,Short-term Krat Exclosure
2000,M,25.0,31.0,Chaetodipus,baileyi,Rodent,Short-term Krat Exclosure
1997,M,22.0,21.0,Chaetodipus,penicillatus,Rodent,Control
1991,F,17.0,11.0,Reithrodontomys,megalotis,Rodent,Rodent Exclosure
1991,M,22.0,24.0,Peromyscus,eremicus,Rodent,Rodent Exclosure
1988,M,22.0,30.0,Onychomys,torridus,Rodent,Control
1988,M,37.0,49.0,Dipodomys,merriami,Rodent,Control
2001,M,37.0,46.0,Dipodomys,merriami,Rodent,Control
1982,F,21.0,33.0,Onychomys,leucogaster,Rodent,Short-term Krat Exclosure
1977,F,37.0,42.0,Dipodomys,merriami,Rodent,Control
1995,M,38.0,54.0,Dipodomys,merriami,Rodent,Control
1977,F,38.0,40.0,Dipodomys,merriami,Rodent,Short-term Krat Exclosure
1983,F,31.0,139.0,Neotoma,albigula,Rodent,Long-term Krat Exclosure
1982,M,36.0,47.0,Dipodomys,merriami,Rodent,Spectab exclosure
1996,M,36.0,41.0,Dipodomys,merriami,Rodent,Control
1990,M,37.0,49.0,Dipodomys,merriami,Rodent,Control
1991,M,36.0,50.0,Dipodomys,merriami,Rodent,Spectab exclosure
1985,M,36.0,40.0,Dipodomys,merriami,Rodent,Spectab exclosure
2000,M,27.0,20.0,Chaetodipus,baileyi,Rodent,Rodent Exclosure
2001,M,26.0,34.0,Chaetodipus,baileyi,Rodent,Rodent Exclosure
1989,M,33.0,46.0,Dipodomys,merriami,Rodent,Control
1983,F,51.0,127.0,Dipodomys,spectabilis,Rodent,Control
1982,F,,17.0,Chaetodipus,penicillatus,Rodent,Rodent Exclosure
1983,F,34.0,25.0,Dipodomys,merriami,Rodent,Rodent Exclosure
1979,M,35.0,49.0,Dipodomys,merriami,Rodent,Control
1994,F,36.0,42.0,Dipodomys,merriami,Rodent,Spectab exclosure
1977,M,35.0,,Dipodomys,merriami,Rodent,Long-term Krat Exclosure
1982,M,33.0,114.0,Neotoma,albigula,Rodent,Long-term Krat Exclosure
1993,F,37.0,40.0,Dipodomys,merriami,Rodent,Rodent Exclosure
1997,M,34.0,47.0,Dipodomys,merriami,Rodent,Rodent Exclosure
1982,F,36.0,46.0,Dipodomys,ordii,Rodent,Short-term Krat Exclosure
2000,F,26.0,43.0,Chaetodipus,baileyi,Rodent,Long-term Krat Exclosure
1983,F,15.0,11.0,Reithrodontomys,megalotis,Rodent,Rodent Exclosure
1998,F,36.0,47.0,Dipodomys,merriami,Rodent,Control
1995,M,36.0,26.0,Dipodomys,ordii,Rodent,Control
1984,F,37.0,52.0,Dipodomys,merriami,Rodent,Control
1998,F,25.0,34.0,Chaetodipus,baileyi,Rodent,Short-term Krat Exclosure
1987,F,37.0,35.0,Dipodomys,merriami,Rodent,Control
1984,M,21.0,28.0,Onychomys,torridus,Rodent,Long-term Krat Exclosure
1999,F,26.0,18.0,Chaetodipus,baileyi,Rodent,Long-term Krat Exclosure
1986,M,37.0,46.0,Dipodomys,merriami,Rodent,Short-term Krat Exclosure
1998,F,36.0,46.0,Dipodomys,merriami,Rodent,Control
1983,M,37.0,46.0,Dipodomys,merriami,Rodent,Control
1989,F,16.0,8.0,Reithrodontomys,megalotis,Rodent,Short-term Krat Exclosure
1997,F,21.0,23.0,Onychomys,torridus,Rodent,Control
1989,M,22.0,24.0,Peromyscus,eremicus,Rodent,Short-term Krat Exclosure
1983,F,51.0,110.0,Dipodomys,spectabilis,Rodent,Spectab exclosure
1982,F,34.0,46.0,Dipodomys,ordii,Rodent,Spectab exclosure
1983,M,15.0,8.0,Reithrodontomys,megalotis,Rodent,Long-term Krat Exclosure
2002,M,23.0,12.0,Chaetodipus,penicillatus,Rodent,Control
1997,F,20.0,26.0,Onychomys,torridus,Rodent,Control
1993,F,22.0,13.0,Chaetodipus,penicillatus,Rodent,Short-term Krat Exclosure
1978,M,36.0,49.0,Dipodomys,merriami,Rodent,Short-term Krat Exclosure
1990,F,37.0,47.0,Dipodomys,merriami,Rodent,Control
1988,M,21.0,22.0,Peromyscus,eremicus,Rodent,Control
1990,M,36.0,56.0,Dipodomys,ordii,Rodent,Spectab exclosure
1983,F,52.0,123.0,Dipodomys,spectabilis,Rodent,Control
1984,F,19.0,16.0,Onychomys,torridus,Rodent,Control
2001,M,20.0,16.0,Chaetodipus,penicillatus,Rodent,Control
1981,F,49.0,117.0,Dipodomys,spectabilis,Rodent,Control
2002,F,20.0,23.0,Onychomys,torridus,Rodent,Rodent Exclosure
1987,F,22.0,25.0,Peromyscus,eremicus,Rodent,Rodent Exclosure
1985,M,52.0,152.0,Dipodomys,spectabilis,Rodent,Spectab exclosure
2000,F,34.0,28.0,Dipodomys,merriami,Rodent,Control
2000,M,36.0,43.0,Dipodomys,merriami,Rodent,Control
1997,M,37.0,47.0,Dipodomys,merriami,Rodent,Control
2001,M,21.0,19.0,Onychomys,torridus,Rodent,Spectab exclosure
1988,F,21.0,26.0,Peromyscus,eremicus,Rodent,Short-term Krat Exclosure
1982,F,36.0,41.0,Dipodomys,merriami,Rodent,Control
1994,F,20.0,20.0,Onychomys,torridus,Rodent,Spectab exclosure
1988,M,23.0,20.0,Chaetodipus,penicillatus,Rodent,Control
2002,M,21.0,15.0,Chaetodipus,penicillatus,Rodent,Long-term Krat Exclosure
1997,M,16.0,10.0,Perognathus,flavus,Rodent,Long-term Krat Exclosure
1978,F,37.0,47.0,Dipodomys,merriami,Rodent,Control
1983,M,21.0,20.0,Peromyscus,eremicus,Rodent,Rodent Exclosure
2000,M,26.0,34.0,Chaetodipus,baileyi,Rodent,Short-term Krat Exclosure
1987,M,22.0,29.0,Onychomys,leucogaster,Rodent,Control
1998,M,20.0,24.0,Onychomys,torridus,Rodent,Control
1994,M,20.0,26.0,Onychomys,torridus,Rodent,Short-term Krat Exclosure
1995,M,35.0,44.0,Dipodomys,merriami,Rodent,Spectab exclosure
2002,F,37.0,43.0,Dipodomys,merriami,Rodent,Control
2001,F,27.0,26.0,Chaetodipus,baileyi,Rodent,Control
2002,F,27.0,33.0,Chaetodipus,baileyi,Rodent,Long-term Krat Exclosure
1997,M,21.0,24.0,Onychomys,torridus,Rodent,Spectab exclosure
1983,F,49.0,,Dipodomys,spectabilis,Rodent,Control
1989,M,36.0,47.0,Dipodomys,merriami,Rodent,Control
1999,F,35.0,41.0,Dipodomys,merriami,Rodent,Control
1996,F,23.0,20.0,Chaetodipus,penicillatus,Rodent,Control
1989,M,22.0,21.0,Peromyscus,eremicus,Rodent,Short-term Krat Exclosure
1991,not reported,,,Amphispiza,bilineata,Bird,Short-term Krat Exclosure
2000,M,35.0,44.0,Dipodomys,merriami,Rodent,Spectab exclosure
1998,M,37.0,55.0,Dipodomys,merriami,Rodent,Spectab exclosure
2001,M,36.0,37.0,Dipodomys,merriami,Rodent,Control
1980,F,36.0,46.0,Dipodomys,merriami,Rodent,Rodent Exclosure
1980,F,,65.0,Dipodomys,spectabilis,Rodent,Short-term Krat Exclosure
1990,F,17.0,13.0,Reithrodontomys,megalotis,Rodent,Long-term Krat Exclosure
1983,F,50.0,108.0,Dipodomys,spectabilis,Rodent,Spectab exclosure
1997,M,21.0,22.0,Peromyscus,maniculatus,Rodent,Short-term Krat Exclosure
1981,M,,129.0,Dipodomys,spectabilis,Rodent,Control
1984,M,36.0,39.0,Dipodomys,merriami,Rodent,Short-term Krat Exclosure
1997,M,36.0,39.0,Dipodomys,merriami,Rodent,Spectab exclosure
1983,M,36.0,42.0,Dipodomys,merriami,Rodent,Rodent Exclosure
1989,M,16.0,9.0,Reithrodontomys,megalotis,Rodent,Control
1987,F,35.0,,Neotoma,albigula,Rodent,Rodent Exclosure
1996,F,19.0,12.0,Peromyscus,maniculatus,Rodent,Rodent Exclosure
1988,M,34.0,42.0,Dipodomys,merriami,Rodent,Control
1982,not reported,,129.0,Dipodomys,spectabilis,Rodent,Control
1981,F,21.0,19.0,Peromyscus,eremicus,Rodent,Control
1981,F,21.0,11.0,Onychomys,torridus,Rodent,Control
1981,F,48.0,97.0,Dipodomys,spectabilis,Rodent,Control
1985,F,54.0,120.0,Dipodomys,spectabilis,Rodent,Spectab exclosure
1994,not reported,,,Dipodomys,sp.,Rodent,Spectab exclosure
1989,F,17.0,14.0,Reithrodontomys,fulvescens,Rodent,Rodent Exclosure
1983,M,36.0,45.0,Dipodomys,merriami,Rodent,Control
1982,M,,45.0,Dipodomys,merriami,Rodent,Control
1986,M,20.0,21.0,Peromyscus,maniculatus,Rodent,Long-term Krat Exclosure
1987,M,51.0,138.0,Dipodomys,spectabilis,Rodent,Control
1982,M,16.0,6.0,Perognathus,flavus,Rodent,Long-term Krat Exclosure
2002,F,19.0,23.0,Peromyscus,eremicus,Rodent,Control
2002,F,30.0,168.0,Neotoma,albigula,Rodent,Long-term Krat Exclosure
1988,F,,39.0,Sigmodon,hispidus,Rodent,Long-term Krat Exclosure
1984,F,37.0,40.0,Dipodomys,merriami,Rodent,Control
2002,M,22.0,20.0,Chaetodipus,penicillatus,Rodent,Short-term Krat Exclosure
1978,F,49.0,118.0,Dipodomys,spectabilis,Rodent,Control
1992,F,20.0,25.0,Onychomys,leucogaster,Rodent,Control
1997,M,37.0,49.0,Dipodomys,merriami,Rodent,Control
1996,F,17.0,7.0,Perognathus,flavus,Rodent,Control
1982,not reported,,,Amphispiza,bilineata,Bird,Short-term Krat Exclosure
1998,F,36.0,42.0,Dipodomys,merriami,Rodent,Control
1981,M,37.0,50.0,Dipodomys,merriami,Rodent,Rodent Exclosure
2002,M,36.0,55.0,Dipodomys,merriami,Rodent,Control
1996,F,24.0,17.0,Chaetodipus,penicillatus,Rodent,Control
1981,F,51.0,154.0,Dipodomys,spectabilis,Rodent,Short-term Krat Exclosure
1995,F,17.0,12.0,Reithrodontomys,megalotis,Rodent,Rodent Exclosure
1995,M,36.0,54.0,Dipodomys,ordii,Rodent,Spectab exclosure
1988,M,36.0,58.0,Dipodomys,ordii,Rodent,Control
1996,M,23.0,20.0,Chaetodipus,penicillatus,Rodent,Long-term Krat Exclosure
1992,F,22.0,22.0,Peromyscus,eremicus,Rodent,Rodent Exclosure
2000,F,26.0,26.0,Chaetodipus,baileyi,Rodent,Short-term Krat Exclosure
2000,M,21.0,14.0,Chaetodipus,penicillatus,Rodent,Control
1998,M,37.0,43.0,Dipodomys,merriami,Rodent,Control
1997,M,37.0,54.0,Dipodomys,merriami,Rodent,Control
1981,M,37.0,44.0,Dipodomys,merriami,Rodent,Rodent Exclosure
1998,M,36.0,56.0,Dipodomys,ordii,Rodent,Spectab exclosure
1983,M,51.0,125.0,Dipodomys,spectabilis,Rodent,Control
1997,F,27.0,47.0,Chaetodipus,baileyi,Rodent,Long-term Krat Exclosure
1989,M,17.0,10.0,Reithrodontomys,megalotis,Rodent,Long-term Krat Exclosure
2000,M,21.0,26.0,Onychomys,torridus,Rodent,Long-term Krat Exclosure
1989,M,17.0,11.0,Reithrodontomys,megalotis,Rodent,Rodent Exclosure
1981,M,36.0,50.0,Dipodomys,merriami,Rodent,Control
1996,F,27.0,38.0,Chaetodipus,baileyi,Rodent,Spectab exclosure
1980,M,20.0,32.0,Onychomys,leucogaster,Rodent,Spectab exclosure
1993,M,35.0,42.0,Dipodomys,merriami,Rodent,Control
2001,M,37.0,59.0,Dipodomys,merriami,Rodent,Control
1984,M,36.0,49.0,Dipodomys,merriami,Rodent,Short-term Krat Exclosure
1992,F,24.0,28.0,Sigmodon,ochrognathus,Rodent,Long-term Krat Exclosure
1984,F,,122.0,Dipodomys,spectabilis,Rodent,Control
1982,M,36.0,49.0,Dipodomys,merriami,Rodent,Short-term Krat Exclosure
1999,M,38.0,53.0,Dipodomys,ordii,Rodent,Control
2000,F,26.0,22.0,Chaetodipus,baileyi,Rodent,Short-term Krat Exclosure
1999,F,25.0,38.0,Chaetodipus,baileyi,Rodent,Long-term Krat Exclosure
1983,F,35.0,42.0,Dipodomys,merriami,Rodent,Control
2002,M,21.0,21.0,Onychomys,leucogaster,Rodent,Spectab exclosure
2001,M,37.0,53.0,Dipodomys,ordii,Rodent,Control
1983,F,34.0,35.0,Dipodomys,merriami,Rodent,Spectab exclosure
1999,F,34.0,39.0,Dipodomys,merriami,Rodent,Control
1982,M,37.0,44.0,Dipodomys,merriami,Rodent,Control
1983,M,16.0,8.0,Perognathus,flavus,Rodent,Long-term Krat Exclosure
1988,M,22.0,36.0,Onychomys,leucogaster,Rodent,Control
1998,M,18.0,8.0,Peromyscus,eremicus,Rodent,Rodent Exclosure
2002,M,33.0,47.0,Dipodomys,merriami,Rodent,Control
1983,M,48.0,122.0,Dipodomys,spectabilis,Rodent,Control
1996,F,37.0,43.0,Dipodomys,merriami,Rodent,Long-term Krat Exclosure
1984,M,20.0,19.0,Peromyscus,maniculatus,Rodent,Rodent Exclosure
2002,F,38.0,47.0,Dipodomys,ordii,Rodent,Rodent Exclosure
1985,M,33.0,40.0,Dipodomys,merriami,Rodent,Spectab exclosure
1977,M,36.0,,Dipodomys,merriami,Rodent,Rodent Exclosure
1985,M,35.0,42.0,Dipodomys,merriami,Rodent,Control
1990,M,38.0,51.0,Dipodomys,merriami,Rodent,Control
1997,F,37.0,44.0,Dipodomys,merriami,Rodent,Control
1997,M,16.0,8.0,Perognathus,flavus,Rodent,Long-term Krat Exclosure
1980,F,36.0,46.0,Dipodomys,merriami,Rodent,Control
1986,F,36.0,42.0,Dipodomys,merriami,Rodent,Rodent Exclosure
2002,M,22.0,16.0,Chaetodipus,penicillatus,Rodent,Control
1977,F,47.0,,Dipodomys,spectabilis,Rodent,Spectab exclosure
1997,F,25.0,42.0,Chaetodipus,baileyi,Rodent,Spectab exclosure
1978,not reported,,,Onychomys,torridus,Rodent,Long-term Krat Exclosure
1997,F,15.0,9.0,Perognathus,flavus,Rodent,Short-term Krat Exclosure
1989,F,17.0,10.0,Reithrodontomys,megalotis,Rodent,Long-term Krat Exclosure
1982,M,16.0,10.0,Reithrodontomys,megalotis,Rodent,Rodent Exclosure
1980,F,,59.0,Dipodomys,merriami,Rodent,Control
1987,M,36.0,48.0,Dipodomys,merriami,Rodent,Short-term Krat Exclosure
1987,M,35.0,38.0,Dipodomys,merriami,Rodent,Control
1985,M,36.0,39.0,Dipodomys,merriami,Rodent,Control
1998,M,26.0,24.0,Chaetodipus,baileyi,Rodent,Long-term Krat Exclosure
1985,F,20.0,20.0,Onychomys,torridus,Rodent,Short-term Krat Exclosure
2002,M,23.0,12.0,Chaetodipus,penicillatus,Rodent,Spectab exclosure
1990,M,36.0,42.0,Dipodomys,ordii,Rodent,Control
1982,F,20.0,21.0,Peromyscus,eremicus,Rodent,Rodent Exclosure
1979,F,50.0,124.0,Dipodomys,spectabilis,Rodent,Rodent Exclosure
1989,F,15.0,8.0,Reithrodontomys,megalotis,Rodent,Rodent Exclosure
1997,M,35.0,54.0,Dipodomys,ordii,Rodent,Spectab exclosure
1997,not reported,,,Spermophilus,spilosoma,Rodent,Spectab exclosure
1985,M,36.0,39.0,Dipodomys,merriami,Rodent,Rodent Exclosure
1980,M,35.0,50.0,Dipodomys,merriami,Rodent,Control
1997,M,22.0,23.0,Chaetodipus,penicillatus,Rodent,Short-term Krat Exclosure
1983,F,37.0,41.0,Dipodomys,merriami,Rodent,Control
1993,not reported,,,Amphispiza,bilineata,Bird,Control
1983,F,37.0,39.0,Dipodomys,merriami,Rodent,Control
1992,F,25.0,39.0,Sigmodon,ochrognathus,Rodent,Long-term Krat Exclosure
2002,F,36.0,65.0,Dipodomys,ordii,Rodent,Short-term Krat Exclosure
2002,F,35.0,44.0,Dipodomys,ordii,Rodent,Spectab exclosure
